,MOAs,definitions
CHEMBL744,Sodium channel alpha subunit blocker,
CHEMBL64391,Cytochrome P450 51 inhibitor,systemic antifungals (miconazole type)
CHEMBL1297,:(,anti-inflammatory/analgesic agents (ibuprofen type)
CHEMBL1443,:(,penicillins
CHEMBL902,Histamine H2 receptor antagonist,H2-receptor antagonists (cimetidine type)
CHEMBL101,Cyclooxygenase inhibitor,anti-inflammatory analgesics (phenylbutazone type)
CHEMBL1350,:(,calcium metabolism regulators
CHEMBL107,Tubulin inhibitor,
CHEMBL820,DNA inhibitor,"antineoplastics, alkylating agents (methane sulfonate derivatives)"
CHEMBL2040682,Glucocorticoid receptor agonist,topical steroids (acetal derivatives)
CHEMBL19224,:(,spasmolytic agents (papaverine type)
CHEMBL790,:(,
CHEMBL43,DNA topoisomerase II inhibitor,acridine derivatives
CHEMBL2023898,:(,antivirals: nonstructural protein 5A (NS5A) inhibitors
CHEMBL557555,Peroxisome proliferator-activated receptor alpha agonist,antihyperlipidemics (clofibrate type)
CHEMBL1117,:(,antineoplastic antibiotics (daunorubicin type)
CHEMBL283800,:(,
CHEMBL120563,:(,
CHEMBL92401,Monoamine oxidase inhibitor,
CHEMBL114655,:(,
CHEMBL131,Glucocorticoid receptor agonist,steroids (not prednisolone derivatives); prednisone and prednisolone derivatives
CHEMBL2105617,:(,
CHEMBL310555,:(,
CHEMBL1201204,:(,cephalosporins
CHEMBL650,Glucocorticoid receptor agonist,steroids (not prednisolone derivatives); prednisone and prednisolone derivatives
CHEMBL679,Adrenergic receptor agonist,
CHEMBL2110703,:(,
CHEMBL17157,Histamine H1 receptor antagonist,
CHEMBL550,"Muscarinic acetylcholine receptor M3 agonist, Muscarinic acetylcholine receptor M1 agonist",tricyclic compounds
CHEMBL58,:(,"antineoplastics, anthraquinone derivatives"
CHEMBL1434,:(,antibiotics (tetracycline derivatives)
CHEMBL1234613,:(,
CHEMBL1476605,:(,
CHEMBL27,:(,beta-blockers (propranolol type)
CHEMBL37161,"Tubulin beta chain, Tubulin beta chain",antithelmintics (tibendazole type)
CHEMBL80,:(,narcotic agonists/antagonists (normorphine type)
CHEMBL421,"Arachidonate 5-lipoxygenase inhibitor, Cyclooxygenase inhibitor","antiarrhythmic/antianginal/antihypertensive agents, phthalazine like structure; anti-inflammatory agents (salicylic acid derivatives); antimicrobials (sulfonamides derivatives)"
CHEMBL25,Cyclooxygenase inhibitor,
CHEMBL1195,:(,local anesthetics
CHEMBL1328,:(,
CHEMBL1387,Progesterone receptor agonist,
CHEMBL632,Glucocorticoid receptor agonist,
CHEMBL1412,:(,
CHEMBL157337,:(,
CHEMBL1623,:(,
CHEMBL277474,Cyclooxygenase-1 inhibitor,
CHEMBL565,Peroxisome proliferator-activated receptor alpha agonist,antihyperlipidemics (clofibrate type)
CHEMBL22242,Dopamine D2 receptor antagonist,sulpride derivatives and analogs
CHEMBL1229211,:(,antivirals: integrase inhibitors
CHEMBL1455,DNA inhibitor,
CHEMBL1651906,DNA inhibitor,
CHEMBL363449,"Bacterial DNA gyrase inhibitor, Topoisomerase IV inhibitor",antibacterials (quinolone derivatives)
CHEMBL443605,:(,
CHEMBL1182210,:(,quaternary ammonium derivatives; quaternary ammonium derivatives
CHEMBL818,:(,iodine-containing contrast media
CHEMBL503,HMG-CoA reductase inhibitor,enzyme inhibitors: antihyperlipidemics (HMG-CoA inhibitors)
CHEMBL1199480,Antiseptic,
CHEMBL1197051,:(,
CHEMBL488093,:(,
CHEMBL1082407,Androgen Receptor antagonist,deuterated compounds; non-steroid antiandrogens
CHEMBL1072,Sodium-(potassium)-chloride cotransporter 2 inhibitor,diuretics (piretanide type)
CHEMBL880,Human herpesvirus 1 DNA polymerase inhibitor,antivirals: antivirals (acyclovir type)
CHEMBL1201548,Surfactant agent,
CHEMBL431770,Adenosine A2a receptor antagonist,theophylline derivatives
CHEMBL1908325,:(,antiparasitics (ivermectin type)
CHEMBL573,:(,
CHEMBL1027,:(,gabamimetics
CHEMBL218490,:(,carbonic anhydrase inhibitors
CHEMBL154,Cyclooxygenase inhibitor,
CHEMBL1194287,:(,
CHEMBL1503,Potassium-transporting ATPase inhibitor,antiulcer agents (benzimidazole derivatives)
CHEMBL1200622,Vitamin D receptor agonist,vitamin D analogs
CHEMBL2103846,Progesterone receptor modulator,steriodal compounds acting on progesterone receptors (excluding-gest- compounds)
CHEMBL278172,Unknown,local anesthetics
CHEMBL254219,Sodium/potassium-transporting ATPase inhibitor,"fluoroquinolone derivatives, nonantibacterial indication (e.g., antineoplastic antibiotics)"
CHEMBL88,:(,
CHEMBL34259,Dihydrofolate reductase inhibitor,antimetabolites (folic acid derivatives)
CHEMBL3707346,:(,
CHEMBL1555126,:(,systemic antifungals (miconazole type)
CHEMBL14,Muscarinic acetylcholine receptor M3 agonist,
CHEMBL609109,:(,
CHEMBL1200374,Cytochrome P450 19A1 inhibitor,antineoplastics (aromatase inhibitors)
CHEMBL389621,Glucocorticoid receptor agonist,cortisone derivatives
CHEMBL1443491,:(,
CHEMBL1201753,:(,enzyme inhibitors: antihyperlipidemics (HMG-CoA inhibitors)
CHEMBL294199,Vanilloid receptor opener,
CHEMBL6995,Beta-1 adrenergic receptor inhibitor,beta-blockers (propranolol type)
CHEMBL325109,"Serotonin 4 (5-HT4) receptor agonist, Dopamine D2 receptor antagonist",sulpride derivatives and analogs
CHEMBL417,:(,antineoplastic antibiotics (daunorubicin type)
CHEMBL81,:(,antiestrogens of the clomifene and tamoxifen groups
CHEMBL1388,Tyrosinase inhibitor,
CHEMBL685,"Tubulin inhibitor, Tubulin inhibitor",antithelmintics (tibendazole type)
CHEMBL1201117,Carbonic anhydrase I inhibitor,
CHEMBL157101,Cytochrome P450 51 inhibitor,systemic antifungals (miconazole type)
CHEMBL1619,DNA inhibitor,ribofuranil derivatives (pyrazofurin type)
CHEMBL256105,:(,
CHEMBL1790041,Histamine H2 receptor antagonist,H2-receptor antagonists (cimetidine type)
CHEMBL1219,:(,antiulcer agents (benzimidazole derivatives)
CHEMBL448416,:(,pentamidine derivatives/analogues
CHEMBL1162,Progesterone receptor agonist,
CHEMBL1112,"Dopamine D2 receptor partial agonist, Serotonin 1a (5-HT1a) receptor partial agonist, Serotonin 2a (5-HT2a) receptor antagonist",antiulcer agents (benzimidazole derivatives)
CHEMBL29292,:(,immunostimulants
CHEMBL1389,Progesterone receptor agonist,estrogens; progestins
CHEMBL35482,:(,
CHEMBL514409,:(,
CHEMBL296588,:(,enzyme inhibitors: antihyperlipidemics (HMG-CoA inhibitors)
CHEMBL88553,:(,
CHEMBL1377575,:(,anti-inflammatory agents (salicylic acid derivatives)
CHEMBL401570,:(,
CHEMBL221137,:(,
CHEMBL1256808,:(,
CHEMBL222863,:(,
CHEMBL239243,:(,
CHEMBL1399,Cytochrome P450 19A1 inhibitor,aromatase inhibitors (imidazole/triazole derivatives)
CHEMBL1201213,:(,
CHEMBL468719,:(,
CHEMBL570015,Phosphodiesterase 4 inhibitor,
CHEMBL455461,Bacterial 70S ribosome inhibitor,oxazolidinone antibacterials
CHEMBL486226,Integrase inhibitor,
CHEMBL495727,"Tyrosine-protein kinase ABL inhibitor, Serine/threonine-protein kinase Aurora-A inhibitor, Serine/threonine-protein kinase Aurora-B inhibitor, Tyrosine-protein kinase receptor FLT3 inhibitor, Tyrosine-protein kinase JAK2 inhibitor, Tyrosine-protein kinase JAK3 inhibitor",
CHEMBL107400,:(,"antihyperlipidemic, thyromimetic derivatives"
CHEMBL1230165,Casein kinase II alpha inhibitor,serine/threonine kinase inhibitors
CHEMBL95692,:(,
CHEMBL52606,:(,
CHEMBL1947204,"Epidermal growth factor receptor erbB1 inhibitor, Receptor protein-tyrosine kinase erbB-2 inhibitor",tyrosine kinase inhibitors
CHEMBL1093059,:(,steroids (not prednisolone derivatives)
CHEMBL2137530,:(,
CHEMBL598797,"Epidermal growth factor receptor erbB1 inhibitor, Receptor protein-tyrosine kinase erbB-2 inhibitor, Histone deacetylase inhibitor",
CHEMBL286494,:(,
CHEMBL1231101,:(,
CHEMBL1079175,Serine/threonine-protein kinase AKT inhibitor,
CHEMBL88147,:(,
CHEMBL485980,:(,
CHEMBL419296,:(,
CHEMBL39878,:(,
CHEMBL1213187,:(,
CHEMBL1474889,Unknown,
CHEMBL127643,:(,
CHEMBL561,:(,antibacterials (quinolone derivatives)
CHEMBL3989594,:(,antiparasitics (ivermectin type)
CHEMBL3137331,"Focal adhesion kinase 1 inhibitor, Protein tyrosine kinase 2 beta inhibitor",tyrosine kinase inhibitors
CHEMBL1094408,:(,
CHEMBL1614707,Receptor protein-tyrosine kinase erbB-2 inhibitor,tyrosine kinase inhibitors
CHEMBL1236682,"Dual specificity mitogen-activated protein kinase kinase 1 inhibitor, Dual specificity mitogen-activated protein kinase kinase 2 inhibitor",tyrosine kinase inhibitors: tyrosine kinase inhibitors; MEK (MAPK kinase) inhibitors
CHEMBL49035,:(,potassium channel agonists
CHEMBL101892,:(,
CHEMBL1276678,:(,
CHEMBL9337,:(,
CHEMBL1631694,Cytotoxic,antiprotozoal substances (metronidazole type)
CHEMBL3086524,:(,
CHEMBL347695,:(,alpha-adrenoceptor antagonists (benzodioxane derivatives)
CHEMBL589390,:(,serotonin 5-HT6 receptor inhibitors
CHEMBL272980,"Histone deacetylase 1 inhibitor, Histone deacetylase 2 inhibitor, Histone deacetylase 3 inhibitor, Histone deacetylase 11 inhibitor, Histone deacetylase 8 inhibitor",enzyme inhibitors: histone deacetylase inhibitors
CHEMBL2105763,Histone deacetylase inhibitor,enzyme inhibitors: histone deacetylase inhibitors
CHEMBL259084,Serine/threonine-protein kinase Aurora-A inhibitor,
CHEMBL1645462,"Epidermal growth factor receptor erbB1 inhibitor, Receptor protein-tyrosine kinase erbB-2 inhibitor, Receptor protein-tyrosine kinase erbB-4 inhibitor",
CHEMBL3545078,"Serine/threonine-protein kinase Aurora-A inhibitor, Serine/threonine-protein kinase Aurora-B inhibitor",
CHEMBL1255891,"Hepatitis C virus serine protease, NS3/NS4A inhibitor",antivirals: serine protease inhibitors
CHEMBL571948,Rho-associated protein kinase inhibitor,
CHEMBL2063869,:(,
CHEMBL442016,:(,
CHEMBL4297451,:(,
CHEMBL482968,"Serine/threonine-protein kinase Aurora-A inhibitor, Serine/threonine-protein kinase Aurora-B inhibitor, Vascular endothelial growth factor receptor 2 inhibitor, Fibroblast growth factor receptor 3 inhibitor, Tyrosine-protein kinase receptor FLT3 inhibitor, Stem cell growth factor receptor inhibitor, Macrophage colony stimulating factor receptor inhibitor",
CHEMBL1952329,Serine/threonine-protein kinase PIM inhibitor,
CHEMBL1234354,"Serine/threonine-protein kinase mTOR inhibitor, PI3-kinase class I inhibitor",
CHEMBL562967,Hepatitis C virus NS5B RNA-dependent RNA polymerase inhibitor,"nucleoside antiviral or antineoplastic agents, cytarabine or azarabine derivatives"
CHEMBL571546,Tyrosine-protein kinase SRC inhibitor,antineoplastics (mitotic inhibitors; tubulin binders)
CHEMBL482767,Serine/threonine-protein kinase Aurora inhibitor,
CHEMBL3617964,Leukocyte elastase inhibitor,enzyme inhibitors: elastase inhibitors
CHEMBL1801204,Serine/threonine-protein kinase mTOR inhibitor,
CHEMBL3545137,Serine/threonine-protein kinase Chk1 inhibitor,
CHEMBL2338329,Hypoxia-inducible factor prolyl hydroxylase inhibitor,enzyme inhibitors: hypoxia-inducible factor (HIF) prolyl hydroxylase inhibitors
CHEMBL124660,"Tyrosine-protein kinase receptor FLT3 inhibitor, Stem cell growth factor receptor inhibitor, Platelet-derived growth factor receptor beta inhibitor",tyrosine kinase inhibitors
CHEMBL1075790,:(,
CHEMBL2219422,Serine/threonine-protein kinase AKT inhibitor,serine/threonine kinase inhibitors
CHEMBL68117,"DNA topoisomerase II inhibitor, DNA inhibitor","fluoroquinolone derivatives, nonantibacterial indication (e.g., antineoplastic antibiotics)"
CHEMBL38943,Peroxisome proliferator-activated receptor delta agonist,
CHEMBL1614710,"Stem cell growth factor receptor inhibitor, Vascular endothelial growth factor receptor inhibitor",
CHEMBL1087629,:(,
CHEMBL1271047,:(,
CHEMBL27759,Histone deacetylase inhibitor,enzyme inhibitors: histone deacetylase inhibitors
CHEMBL2001019,Hepatocyte growth factor receptor inhibitor,
CHEMBL450195,:(,
CHEMBL3545431,Serine/threonine-protein kinase PLK1 inhibitor,
CHEMBL270515,:(,proteozome inhibitors
CHEMBL298734,Protein farnesyltransferase inhibitor,farnesyl transferase inhibitor
CHEMBL576982,"Macrophage colony stimulating factor receptor inhibitor, Tyrosine-protein kinase receptor FLT3 inhibitor, Stem cell growth factor receptor inhibitor, Platelet-derived growth factor receptor inhibitor, Tyrosine-protein kinase receptor RET inhibitor",tyrosine kinase inhibitors
CHEMBL3039522,cIAP1/cIAP2 inhibitor,inhibitor of apoptosis protein (IAP)
CHEMBL2325741,Serine/threonine-protein kinase AKT inhibitor,serine/threonine kinase inhibitors
CHEMBL3184679,Fibroblast growth factor receptor inhibitor,
CHEMBL453863,:(,
CHEMBL3128043,Serine/threonine-protein kinase PAK 4 inhibitor,
CHEMBL3301612,Serine/threonine-protein kinase B-raf inhibitor,rapidly accelerated fibrosarcoma (RAF) kinase inhibitors
CHEMBL3590106,"MAP kinase ERK1 inhibitor, MAP kinase ERK2 inhibitor",tyrosine kinase inhibitors: epidermal growth factor receptor (EGFR) inhibitors
CHEMBL101253,"Stem cell growth factor receptor inhibitor, Platelet-derived growth factor receptor inhibitor, Vascular endothelial growth factor receptor inhibitor, Macrophage colony stimulating factor receptor inhibitor",angiogenesis inhibitors
CHEMBL225411,Cannabinoid CB2 receptor agonist,
CHEMBL2005186,Rho-associated protein kinase 2 inhibitor,vasodilators (undefined group): Rho protein kinase (ROCK) inhibitors
CHEMBL1615025,"Dual specificity mitogen-activated protein kinase kinase 1 inhibitor, Dual specificity mitogen-activated protein kinase kinase 2 inhibitor",
CHEMBL1923234,:(,
CHEMBL1851943,:(,enzyme inhibitors: histone deacetylase inhibitors
CHEMBL3182444,Serine/threonine-protein kinase Aurora-A inhibitor,
CHEMBL2105734,:(,quaternary ammonium derivatives; quaternary ammonium derivatives
CHEMBL1474352,:(,
CHEMBL2107823,Tyrosine-protein kinase JAK2 inhibitor,tyrosine kinase inhibitors
CHEMBL2105728,"Platelet-derived growth factor receptor inhibitor, Tyrosine-protein kinase receptor FLT3 inhibitor",angiogenesis inhibitors
CHEMBL279785,"Matrix metalloproteinase 9 inhibitor, Matrix metalloproteinase-1 inhibitor, Matrix metalloproteinase 12 inhibitor, Matrix metalloproteinase-2 inhibitor, Matrix metalloproteinase 3 inhibitor, Matrix metalloproteinase 7 inhibitor",enzyme inhibitors: matrix metalloprotease inhibitors
CHEMBL1171829,Glycine transporter 1 inhibitor,glycine transporter/reuptake inhibitors
CHEMBL1464,:(,warfarin analogs
CHEMBL1197091,:(,
CHEMBL463210,:(,
CHEMBL723,"Adrenergic receptor beta antagonist, Adrenergic receptor alpha-1 antagonist",vasodilators (undefined group)
CHEMBL135,Estrogen receptor alpha agonist,estrogens
CHEMBL1751,Sodium/potassium-transporting ATPase inhibitor,"fluoroquinolone derivatives, nonantibacterial indication (e.g., antineoplastic antibiotics)"
CHEMBL2107016,Thyrotropin-releasing hormone receptor agonist,prehormones or hormone-release stimulating peptides: thyrotropin releasing hormone analogues
CHEMBL1393,Mineralocorticoid receptor antagonist,
CHEMBL533,:(,class III antiarrhythmic agents
CHEMBL184412,:(,antiarrhythmics
CHEMBL45816,:(,vasodilators (undefined group): calcium channel blockers acting as vasodilators
CHEMBL485818,:(,
CHEMBL428,:(,antibacterials (quinolone derivatives)
CHEMBL361812,"G protein-coupled receptor 44 antagonist, Thromboxane A2 receptor antagonist",antithrombotics (thromboxane A2 receptor antagonists)
CHEMBL190,"Phosphodiesterase 4 inhibitor, Phosphodiesterase 3 inhibitor, Adenosine receptor antagonist",
CHEMBL1200600,Glucocorticoid receptor agonist,steroids (not prednisolone derivatives)
CHEMBL3,Neuronal acetylcholine receptor; alpha4/beta2 agonist,
CHEMBL590,:(,
CHEMBL2103772,Neprilysin inhibitor,endopeptidase inhibitors
CHEMBL1148,Sodium-(potassium)-chloride cotransporter 2 inhibitor,diuretics (furosemide type)
CHEMBL498,"Sulfonylurea receptor 1, Kir6.2 blocker",diuretics (sulfamoylbenzoic acid derivatives)
CHEMBL1165268,:(,iodine-containing contrast media; diuretics (sulfamoylbenzoic acid derivatives)
CHEMBL127516,"Transient receptor potential cation channel subfamily V member 4 inhibitor, Transient receptor potential cation channel subfamily A member 1 inhibitor",
CHEMBL1760,:(,
CHEMBL1123,:(,
CHEMBL1568,:(,
CHEMBL1201322,:(,quaternary ammonium derivatives; quaternary ammonium derivatives
CHEMBL243712,"Serotonin (5-HT) receptor antagonist, Dopamine receptors; D2 & D3 antagonist",sulpride derivatives and analogs
CHEMBL37858,:(,antibacterials (quinolone derivatives)
CHEMBL284733,:(,
CHEMBL1201237,:(,beta-blockers (propranolol type)
CHEMBL529,Bacterial 70S ribosome inhibitor,antibiotics (Streptomyces strain)
CHEMBL190044,:(,
CHEMBL571,Cyclooxygenase inhibitor,anti-inflammatory/analgesic agents (ibuprofen type)
CHEMBL846,Vitamin D receptor agonist,vitamin D analogs
CHEMBL49080,Beta-2 adrenergic receptor agonist,bronchodilators (phenethylamine derivatives)
CHEMBL21731,:(,
CHEMBL658,:(,narcotic analgesics (fentanyl derivatives)
CHEMBL500,"Beta-1 adrenergic receptor partial agonist, Beta-2 adrenergic receptor partial agonist",beta-blockers (propranolol type)
CHEMBL376897,:(,
CHEMBL20734,:(,sulpride derivatives and analogs
CHEMBL1051,Prostanoid FP receptor agonist,prostaglandins
CHEMBL2107797,Progesterone receptor agonist,estrogens; progestins
CHEMBL1684,Thiazide-sensitive sodium-chloride cotransporter inhibitor,diuretics (thiazide derivatives)
CHEMBL957,"Endothelin receptor, ET-A/ET-B antagonist",endothelin receptor antagonists
CHEMBL1201212,:(,sympathomimetics
CHEMBL354541,:(,microsomal triglyceride transfer protein (MTP) inhibitors
CHEMBL1491875,:(,
CHEMBL1483,"Tubulin inhibitor, Tubulin inhibitor",antithelmintics (tibendazole type)
CHEMBL153,:(,
CHEMBL83628,:(,
CHEMBL942,Unknown,
CHEMBL1208572,:(,antibiotics (Streptomyces strain); anti-inflammatory agents (salicylic acid derivatives)
CHEMBL1241590,:(,"antibacterial antibiotics, chloramphenicol analogs"
CHEMBL56564,Serotonin 3 (5-HT3) receptor antagonist,serotonin 5-HT3 receptor antagonists; atropine derivatives
CHEMBL317094,Angiotensin-converting enzyme inhibitor,antihypertensives (ACE inhibitors)
CHEMBL1201891,Glucocorticoid receptor agonist,
CHEMBL1201012,Glucocorticoid receptor agonist,androgens
CHEMBL1024,DNA inhibitor,phosphoro-derivatives; isophosphoramide mustard derivatives
CHEMBL105,DNA inhibitor,antibiotics (Streptomyces strain)
CHEMBL79686,:(,
CHEMBL1963681,Phosphodiesterase 5A inhibitor,phosphodiesterase type 5 inhibitors (PDE5) inhibitors: (PDE5) inhibitors containing a sulfonamide moiety
CHEMBL508338,"Antimicrobial preservative, used in vaccines",anti-inflammatory agents (salicylic acid derivatives)
CHEMBL132767,:(,vasodilators (undefined group)
CHEMBL331237,:(,
CHEMBL1621,"Dopamine D2 receptor antagonist, Serotonin 2a (5-HT2a) receptor antagonist",antipsychotics (risperidone type)
CHEMBL837,DNA topoisomerase I inhibitor,
CHEMBL374478,Bacterial DNA-directed RNA polymerase inhibitor,tricyclic compounds; antibiotics (rifamycin derivatives)
CHEMBL132530,:(,antineoplastics (aromatase inhibitors)
CHEMBL1448,"DNA inhibitor, DNA inhibitor",
CHEMBL848,CRL4(CRBN) E3 ubiquitin ligase inhibitor,thalidomide derivatives; narcotic agonists/antagonists (normorphine type)
CHEMBL1742461,Histamine H2 receptor antagonist,H2-receptor antagonists (cimetidine type)
CHEMBL487253,:(,antineoplastics (chloroethylamine derivatives)
CHEMBL349803,:(,diuretics (piretanide type)
CHEMBL762,:(,antihistamines/local vasoconstrictors (antazoline type)
CHEMBL1201191,:(,
CHEMBL1094,Glutamate [NMDA] receptor antagonist,tranquilizers/antiepileptics (propanediol and pentanediol groups)
CHEMBL1200633,"Glutamate-gated chloride channel modulator, Glutamate-gated chloride channel modulator",antiparasitics (ivermectin type)
CHEMBL821,:(,antihypertensives (guanidine deriviatives)
CHEMBL2095208,Cytochrome P450 3A inhibitor,enzyme inhibitors
CHEMBL2364628,Histone deacetylase 6 inhibitor,enzyme inhibitors: histone deacetylase inhibitors
CHEMBL1192517,:(,
CHEMBL415324,:(,antiasthmatics/antiallergics (not acting primarily as antihistamines)
CHEMBL1655,:(,antiestrogens of the clomifene and tamoxifen groups
CHEMBL1201340,:(,
CHEMBL9,"Topoisomerase IV inhibitor, Bacterial DNA gyrase inhibitor",antibacterials (quinolone derivatives)
CHEMBL1521,GABA A receptor alpha-1/beta-1/gamma-2 positive allosteric modulator,"non-benzodiazepine anxiolytics, sedatives, hypnotics"
CHEMBL1437,:(,
CHEMBL459016,:(,
CHEMBL3707307,:(,
CHEMBL626,:(,
CHEMBL1064,HMG-CoA reductase inhibitor,enzyme inhibitors: antihyperlipidemics (HMG-CoA inhibitors)
CHEMBL413,FK506-binding protein 1A inhibitor,immunosuppressives
CHEMBL225071,Thymidylate synthase inhibitor,antineoplastic thymidylate synthetase inhibitors
CHEMBL79,Sodium channel alpha subunit blocker,local anesthetics
CHEMBL254328,"Cytochrome P450 17A1 inhibitor, Androgen Receptor antagonist, Steroid 5-alpha-reductase inhibitor",antiandrogens
CHEMBL36633,:(,"nootropic agents (learning, cognitive enhancers), piracetam type"
CHEMBL1200699,"Matrix metalloproteinase 7 inhibitor, Matrix metalloproteinase 8 inhibitor, Matrix metalloproteinase 13 inhibitor, Matrix metalloproteinase-1 inhibitor, Bacterial 70S ribosome inhibitor",antibiotics (tetracycline derivatives)
CHEMBL927,Bacterial penicillin-binding protein inhibitor,cephalosporins
CHEMBL361497,Unknown,antimalarials (artemisin derivatives)
CHEMBL249837,:(,antibiotics (tetracycline derivatives)
CHEMBL1165342,Unknown,vinca alkaloids
CHEMBL1444,Cytochrome P450 19A1 inhibitor,aromatase inhibitors (imidazole/triazole derivatives)
CHEMBL20883,"RNA inhibitor, Thymidylate synthase inhibitor, DNA inhibitor",
CHEMBL137,DNA inhibitor,antiprotozoal substances (metronidazole type)
CHEMBL176,Bacterial 70S ribosome inhibitor,antibiotics (Streptomyces strain)
CHEMBL1078,:(,
CHEMBL1200596,DNA inhibitor,
CHEMBL1276308,"Glucocorticoid receptor antagonist, Progesterone receptor antagonist",steriodal compounds acting on progesterone receptors (excluding-gest- compounds); progesterone receptor antagonists
CHEMBL672,Peroxisome proliferator-activated receptor alpha agonist,antihyperlipidemics (clofibrate type)
CHEMBL226335,:(,
CHEMBL1107,:(,
CHEMBL785,:(,
CHEMBL435966,:(,
CHEMBL284906,:(,vasodilators (undefined group)
CHEMBL1201109,Glucocorticoid receptor agonist,topical steroids (acetal derivatives)
CHEMBL535607,:(,
CHEMBL1183605,:(,quaternary ammonium derivatives; quaternary ammonium derivatives
CHEMBL158,Bacterial penicillin-binding protein inhibitor,
CHEMBL2,:(,antihypertensives (prazosin type)
CHEMBL587723,"Epidermal growth factor receptor erbB1 inhibitor, Receptor protein-tyrosine kinase erbB-2 inhibitor, Vascular endothelial growth factor receptor 2 inhibitor, Vascular endothelial growth factor receptor 1 inhibitor",
CHEMBL2331680,Serine/threonine-protein kinase mTOR inhibitor,
CHEMBL1938870,:(,
CHEMBL2387080,PI3-kinase class I inhibitor,phosphatidylinositol 3-kinase (PI3K) inhibitors
CHEMBL1287853,"Tyrosine-protein kinase receptor FLT3 inhibitor, Tyrosine-protein kinase JAK2 inhibitor",tyrosine kinase inhibitors
CHEMBL502835,:(,angiogenesis inhibitors
CHEMBL260829,:(,"nootropic agents (learning, cognitive enhancers), piracetam type"
CHEMBL1096842,:(,phenylpyridine vasodilators; tricyclic compounds
CHEMBL4297392,Cystic fibrosis transmembrane conductance regulator inhibitor,iodine-containing contrast media
CHEMBL76447,:(,
CHEMBL591429,:(,
CHEMBL486598,:(,
CHEMBL122413,:(,
CHEMBL465208,:(,
CHEMBL1449249,:(,
CHEMBL516,:(,
CHEMBL1272,"Sulfonylurea receptor 1, Kir6.2 blocker","antidiabetic, sodium glucose co-transporter 2 (SGLT2) inhibitors, not phlorozin derivatives"
CHEMBL2105759,"Tyrosine-protein kinase JAK1 inhibitor, Tyrosine-protein kinase JAK2 inhibitor",tyrosine kinase inhibitors: tyrosine kinase inhibitors; janus kinase inhibitors
CHEMBL1096380,Tubulin inhibitor,antineoplastics (mitotic inhibitors; tubulin binders); cannabinol derivatives
CHEMBL513909,Serine/threonine-protein kinase PLK1 inhibitor,
CHEMBL509895,:(,
CHEMBL455136,Orexin receptor antagonist,
CHEMBL3622533,"PI3-kinase p110-delta subunit inhibitor, PI3-kinase p110-beta subunit inhibitor, PI3-kinase p110-alpha subunit inhibitor, Histone deacetylase inhibitor",enzyme inhibitors: histone deacetylase inhibitors
CHEMBL450775,:(,
CHEMBL272195,:(,
CHEMBL294740,:(,
CHEMBL305522,:(,
CHEMBL442687,:(,steroids (not prednisolone derivatives)
CHEMBL507001,:(,
CHEMBL23194,:(,
CHEMBL4297399,Hexokinase type IV activator,glucokinase activator
CHEMBL59030,:(,
CHEMBL327002,:(,
CHEMBL2104247,:(,
CHEMBL245067,:(,
CHEMBL566,:(,uracil type antineoplastics
CHEMBL1237021,:(,antipsychotic with binding activity on sertonin (5-HT2A) and dopamine (D2) receptors
CHEMBL1201749,Glucocorticoid receptor agonist,prednisone and prednisolone derivatives
CHEMBL459,Adrenergic receptor alpha-2 agonist,dopamine receptor agonists
CHEMBL333950,:(,vitamin D analogs
CHEMBL2106822,:(,
CHEMBL57242,Type-1 angiotensin II receptor antagonist,angiotensin II receptor antagonists
CHEMBL25146,:(,anti-inflammatory agents (acetic acid derivatives)
CHEMBL47050,:(,
CHEMBL1688852,:(,"antibacterials, pleuromulin derivatives"
CHEMBL1361347,:(,diuretics (sulfamoylbenzoic acid derivatives)
CHEMBL43452,CRL4(CRBN) E3 ubiquitin ligase inhibitor,thalidomide derivatives
CHEMBL1463345,Mineralocorticoid receptor antagonist,aldosterone antagonists (spironolactone type)
CHEMBL1201319,:(,
CHEMBL975,Unknown,
CHEMBL580,GABA-A receptor; anion channel positive allosteric modulator,antianxiety agents (diazepam type)
CHEMBL888,:(,"nucleoside antiviral or antineoplastic agents, cytarabine or azarabine derivatives"
CHEMBL20,"Carbonic anhydrase I inhibitor, Carbonic anhydrase II inhibitor, Carbonic anhydrase XII inhibitor, Carbonic anhydrase IV inhibitor",carbonic anhydrase inhibitors
CHEMBL1509,"Mineralocorticoid receptor antagonist, Progesterone receptor agonist",aldosterone antagonists (spironolactone type)
CHEMBL333826,Unknown,quaternary ammonium derivatives
CHEMBL353972,:(,
CHEMBL1095097,Mineralocorticoid receptor antagonist,aldosterone antagonists (spironolactone type)
CHEMBL1601669,Vitamin D receptor agonist,vitamin D analogs
CHEMBL1185,"Serotonin 1b (5-HT1b) receptor agonist, Serotonin 1d (5-HT1d) receptor agonist",antimigraine agents (5-HT1 receptor agonists); sumatriptan derivatives
CHEMBL1555183,:(,
CHEMBL100259,:(,
CHEMBL83,:(,
CHEMBL1346,:(,muscarinic receptor antagonists
CHEMBL1129,DNA inhibitor,antivirals; antineoplastics (uridine derivatives)
CHEMBL54440,:(,enzyme inhibitors: antihyperlipidemics (HMG-CoA inhibitors)
CHEMBL850,"Topoisomerase IV inhibitor, Bacterial DNA gyrase inhibitor",antibacterials (quinolone derivatives)
CHEMBL142652,:(,
CHEMBL1547,:(,
