"","X","X0","moas"
"363","methylphenidate","CHEMBL796","Norepinephrine transporter inhibitor"
"364","fulvestrant","CHEMBL1358","Estrogen receptor antagonist"
"365","fulvestrant","CHEMBL1358","estrogens; estrogen antagonists"
"366","masitinib","CHEMBL1908391","Fibroblast growth factor receptor 3 inhibitor"
"367","masitinib","CHEMBL1908391","Stem cell growth factor receptor inhibitor"
"368","masitinib","CHEMBL1908391","Platelet-derived growth factor receptor inhibitor"
"369","masitinib","CHEMBL1908391","tyrosine kinase inhibitors"
"370","romidepsin","CHEMBL343448","Histone deacetylase inhibitor"
"371","romidepsin","CHEMBL343448","depsipeptide derivatives"
"372","dihydroartemisinin","CHEMBL252518","Unknown"
"373","dihydroartemisinin","CHEMBL252518","antimalarials (artemisin derivatives)"
"374","octopamine","CHEMBL53929"," dopaminergics (butopamine type)"
"375","PF-3845","CHEMBL1651524"," "
"376","puromycin","CHEMBL469912"," antibiotics (Streptomyces strain)"
"377","cycloheximide","CHEMBL123292","80S Ribosome inhibitor"
"378","A-803467","CHEMBL250699"," "
"379","oxymatrine","CHEMBL458337"," "
"380","demecarium","CHEMBL1201229"," quaternary ammonium derivatives"
"381","doxorubicin","CHEMBL53463"," antineoplastic antibiotics (daunorubicin type)"
"382","astemizole","CHEMBL296419","Histamine H1 receptor antagonist"
"383","ixabepilone","CHEMBL1201752","Tubulin inhibitor"
"384","azathioprine","CHEMBL1542","Amidophosphoribosyltransferase inhibitor"
"385","azathioprine","CHEMBL1542","DNA inhibitor"
"386","disulfiram","CHEMBL964","Aldehyde dehydrogenase inhibitor"
"387","rimexolone","CHEMBL1200617","Glucocorticoid receptor agonist"
"388","rimexolone","CHEMBL1200617","steroids (not prednisolone derivatives)"
"389","primaquine","CHEMBL506"," "
"390","piroxicam","CHEMBL527","Cyclooxygenase inhibitor"
"391","piroxicam","CHEMBL527","anti-inflammatory agents (isoxicam type)"
"392","quinidine","CHEMBL21578"," "
"393","tedizolid","CHEMBL1257051","Bacterial 70S ribosome inhibitor"
"394","tedizolid","CHEMBL1257051","oxazolidinone antibacterials"
"395","mefexamide","CHEMBL1368380"," "
"396","7-nitroindazole","CHEMBL247378"," "
"397","nutlin-3","CHEMBL191334"," "
"398","TW-37","CHEMBL217354"," "
"399","EPZ-5676","CHEMBL3414626"," enzyme inhibitors"
"400","FR-122047","CHEMBL275809"," "
"401","oleoylethanolamide","CHEMBL280065"," "
"402","parbendazole","CHEMBL528271"," antithelmintics (tibendazole type)"
"403","D-64131","CHEMBL140220"," "
"404","SB-228357","CHEMBL14276"," "
"405","mepivacaine","CHEMBL1087"," local anesthetics"
"406","atorvastatin","CHEMBL1487"," enzyme inhibitors: antihyperlipidemics (HMG-CoA inhibitors)"
"407","tacrolimus","CHEMBL269732"," immunosuppressives"
"408","lasalocid","CHEMBL145347"," anti-inflammatory agents (salicylic acid derivatives)"
"409","clofazimine","CHEMBL1292","DNA inhibitor"
"410","tacalcitol","CHEMBL2105611"," vitamin D analogs"
"411","protirelin","CHEMBL1472","Thyrotropin-releasing hormone receptor agonist"
"412","protirelin","CHEMBL1472","prehormones or hormone-release stimulating peptides: thyrotropin releasing hormone analogues"
"413","saxagliptin","CHEMBL385517"," dipeptidyl aminopeptidase-IV inhibitors"
"414","tilmicosin","CHEMBL1908333"," "
"415","chlorquinaldol","CHEMBL224325","Unknown"
"416","chlorquinaldol","CHEMBL224325","narcotic agonists/antagonists (normorphine type)"
"417","sevelamer","CHEMBL1201798"," polymers"
"418","clonazepam","CHEMBL452","GABA-A receptor; anion channel positive allosteric modulator"
"419","clonazepam","CHEMBL452","antianxiety agents (diazepam type)"
"420","thiocolchicoside","CHEMBL1705373"," "
"421","estrone","CHEMBL1405","Estrogen receptor alpha agonist"
"422","estrone","CHEMBL1405","estrogens"
"423","naltrexone","CHEMBL19019","Opioid receptors; mu/kappa/delta antagonist"
"424","naltrexone","CHEMBL19019","narcotic agonists/antagonists (normorphine type)"
"425","cabozantinib","CHEMBL2105717"," tyrosine kinase inhibitors"
"426","nilutamide","CHEMBL1274","Androgen Receptor antagonist"
"427","nilutamide","CHEMBL1274","non-steroid antiandrogens"
"428","teniposide","CHEMBL452231","DNA topoisomerase II inhibitor"
"429","mesoridazine","CHEMBL1088"," "
"430","oxprenolol","CHEMBL546"," beta-blockers (propranolol type)"
"431","nizatidine","CHEMBL3183075","Histamine H2 receptor antagonist"
"432","nizatidine","CHEMBL3183075","H2-receptor antagonists (cimetidine type)"
"433","narasin","CHEMBL2104423"," "
"434","tepoxalin","CHEMBL316040"," "
"435","temozolomide","CHEMBL810","DNA inhibitor"
"436","bicalutamide","CHEMBL409","Androgen Receptor antagonist"
"437","bicalutamide","CHEMBL409","non-steroid antiandrogens"
"438","hexachlorophene","CHEMBL496","Bacterial enoyl-[acyl-carrier-protein] reductase inhibitor"
"439","triamterene","CHEMBL585","Amiloride-sensitive sodium channel"
"440","triamterene","CHEMBL585","ENaC blocker"
"441","cimetidine","CHEMBL30","Histamine H2 receptor antagonist"
"442","cimetidine","CHEMBL30","H2-receptor antagonists (cimetidine type)"
"443","nitisinone","CHEMBL1337","4-hydroxyphenylpyruvate dioxygenase inhibitor"
"444","sertindole","CHEMBL12713","Dopamine D2 receptor antagonist"
"445","sertindole","CHEMBL12713","Adrenergic receptor alpha-1 antagonist"
"446","sertindole","CHEMBL12713","Serotonin 2 receptors; 5-HT2a & 5-HT2c antagonist"
"447","chlorambucil","CHEMBL515","DNA inhibitor"
"448","eptifibatide","CHEMBL1174","Integrin alpha-IIb/beta-3 inhibitor"
"449","eptifibatide","CHEMBL1174","peptides: platelet aggregation inhibitor (GPIIb/IIIa receptor antagonist)"
"450","vidarabine","CHEMBL1090","Human herpesvirus 1 DNA polymerase inhibitor"
"451","vidarabine","CHEMBL1090","antineoplastics (arabinofuranosyl derivatives)"
"452","gimeracil","CHEMBL1730601","Dihydropyrimidine dehydrogenase inhibitor"
"453","gimeracil","CHEMBL1730601","uracil type antineoplastics"
"454","clofarabine","CHEMBL1750","Ribonucleoside-diphosphate reductase RR1 inhibitor"
"455","clofarabine","CHEMBL1750","DNA inhibitor"
"456","clofarabine","CHEMBL1750","DNA polymerase (alpha/delta/epsilon) inhibitor"
"457","clofarabine","CHEMBL1750","antineoplastics (arabinofuranosyl derivatives)"
"458","raclopride","CHEMBL8809"," sulpride derivatives and analogs"
"459","etoposide","CHEMBL44657","DNA topoisomerase II inhibitor"
"460","clotrimazole","CHEMBL104","Cytochrome P450 51 inhibitor"
"461","bosutinib","CHEMBL288441","Tyrosine-protein kinase ABL inhibitor"
"462","bosutinib","CHEMBL288441","Tyrosine-protein kinase SRC inhibitor"
"463","bosutinib","CHEMBL288441","Tyrosine-protein kinase HCK inhibitor"
"464","bosutinib","CHEMBL288441","Tyrosine-protein kinase Lyn inhibitor"
"465","bosutinib","CHEMBL288441","Bcr/Abl fusion protein"
"466","bosutinib","CHEMBL288441","tyrosine kinase inhibitors"
"467","metoprolol","CHEMBL13"," beta-blockers (propranolol type)"
"468","cabazitaxel","CHEMBL1201748","Tubulin inhibitor"
"469","cabazitaxel","CHEMBL1201748","antineoplastics"
"470","cabazitaxel","CHEMBL1201748","taxane derivatives"
"471","eprosartan","CHEMBL813"," angiotensin II receptor antagonists"
"472","hydroxyurea","CHEMBL467","Ribonucleoside-diphosphate reductase RR1 inhibitor"
"473","trometamol","CHEMBL1200391","Unknown"
"474","melphalan","CHEMBL852","DNA inhibitor"
"475","josamycin","CHEMBL224436","Bacterial 70S ribosome inhibitor"
"476","josamycin","CHEMBL224436","antibiotics (Streptomyces strain)"
"477","mercaptopurine","CHEMBL1425"," aptamers"
"478","mercaptopurine","CHEMBL1425","classical and mirror"
"479","nelarabine","CHEMBL1201112","DNA inhibitor"
"480","nelarabine","CHEMBL1201112","antineoplastics (arabinofuranosyl derivatives)"
"481","oxcarbazepine","CHEMBL1068","Sodium channel alpha subunit blocker"
"482","oxcarbazepine","CHEMBL1068","tricyclic compounds"
"483","sulconazole","CHEMBL1221"," systemic antifungals (miconazole type)"
"484","suxibuzone","CHEMBL1414320"," anti-inflammatory analgesics (phenylbutazone type) Note: INN Stem is-buzone"
"485","xylazine","CHEMBL297362"," antiarrhythmic/antianginal/antihypertensive agents"
"486","xylazine","CHEMBL297362","phthalazine like structure"
"487","riboflavin","CHEMBL1534"," "
"488","cyromazine","CHEMBL1231107"," "
"489","secnidazole","CHEMBL498847","DNA inhibitor"
"490","secnidazole","CHEMBL498847","antiprotozoal substances (metronidazole type)"
"491","flutamide","CHEMBL806","Androgen Receptor antagonist"
"492","flutamide","CHEMBL806","non-steroid antiandrogens"
"493","posaconazole","CHEMBL1397","Cytochrome P450 51 inhibitor"
"494","posaconazole","CHEMBL1397","systemic antifungals (miconazole type)"
"495","palmitoylethanolamide","CHEMBL417675"," "
"496","vinorelbine","CHEMBL553025"," vinca alkaloids"
"497","pyrimethamine","CHEMBL36","Dihydrofolate reductase inhibitor"
"498","artemisinin","CHEMBL567597","Unknown"
"499","artemisinin","CHEMBL567597","antimalarials (artemisin derivatives)"
"500","clomifene","CHEMBL2355051"," "
"501","mozavaptan","CHEMBL420762","Vasopressin V2 receptor antagonist"
"502","mozavaptan","CHEMBL420762","aptamers"
"503","mozavaptan","CHEMBL420762","classical and mirror; vasopressin receptor antagonists"
"504","genz-644282","CHEMBL191958"," "
"505","FK-888","CHEMBL417572"," "
"506","triptolide","CHEMBL463763"," "
"507","SB-743921","CHEMBL2325429"," "
"508","favipiravir","CHEMBL221722","RNA-directed RNA polymerase inhibitor"
"509","favipiravir","CHEMBL221722","antivirals: treatments of SARS-CoV-2 infection"
"510","favipiravir","CHEMBL221722","inhibiting viral RNA replication"
"511","flumatinib","CHEMBL3545413","Tyrosine-protein kinase ABL inhibitor"
"512","flumatinib","CHEMBL3545413","tyrosine kinase inhibitors"
"513","SNX-2112","CHEMBL560895"," "
"514","GDC-0068","CHEMBL2177390","Serine/threonine-protein kinase AKT inhibitor"
"515","GDC-0068","CHEMBL2177390","serine/threonine kinase inhibitors"
"516","spiradoline","CHEMBL70586"," "
"517","tanaproget","CHEMBL539163"," nonsteroidal ligand for the progesterone receptor"
"518","tezacaftor","CHEMBL3544914","Cystic fibrosis transmembrane conductance regulator positive modulator"
"519","tezacaftor","CHEMBL3544914","cystic fibrosis transmembrane regulator (CFTR) protein modulators"
"520","CX-5461","CHEMBL4303309"," "
"521","dalcetrapib","CHEMBL313006","Cholesteryl ester transfer protein inhibitor"
"522","dalcetrapib","CHEMBL313006","cholesterol ester transfer protein inhibitors"
"523","apatinib","CHEMBL3186534"," angiogenesis inhibitors"
"524","MK-3207","CHEMBL1910936","Calcitonin gene-related peptide type 1 receptor antagonist"
"525","palomid-529","CHEMBL2141712","Serine/threonine-protein kinase mTOR inhibitor"
"526","meglitinide","CHEMBL149930"," "
"527","tipifarnib","CHEMBL289228","Protein farnesyltransferase inhibitor"
"528","tipifarnib","CHEMBL289228","farnesyl transferase inhibitor"
"529","Ro-4987655","CHEMBL1614766","Dual specificity mitogen-activated protein kinase kinase 1 inhibitor"
"530","Ro-4987655","CHEMBL1614766","Dual specificity mitogen-activated protein kinase kinase 2 inhibitor"
"531","danusertib","CHEMBL402548","Serine/threonine-protein kinase Aurora inhibitor"
"532","danusertib","CHEMBL402548","serine/threonine kinase inhibitors"
"533","AZD7762","CHEMBL2041933","Serine/threonine-protein kinase Chk1 inhibitor"
"534","tirapazamine","CHEMBL50882","DNA disrupting agent"
"535","berberine","CHEMBL295124"," "
"536","dapivirine","CHEMBL70663","Reverse transcriptase inhibitor"
"537","dapivirine","CHEMBL70663","antivirals: non-nucleoside reverse transcriptase inhibitors"
"538","dapivirine","CHEMBL70663","not benzoxazinone derivatives"
"539","midostaurin","CHEMBL608533","Tyrosine-protein kinase receptor FLT3 inhibitor"
"540","midostaurin","CHEMBL608533","Stem cell growth factor receptor inhibitor"
"541","midostaurin","CHEMBL608533","Platelet-derived growth factor receptor inhibitor"
"542","midostaurin","CHEMBL608533","Protein kinase C (PKC) inhibitor"
"543","midostaurin","CHEMBL608533","Vascular endothelial growth factor receptor 2 inhibitor"
"544","tosedostat","CHEMBL2103847","Aminopeptidase inhibitor"
"545","tosedostat","CHEMBL2103847","enzyme inhibitors: indoleamine 2"
"546","tosedostat","CHEMBL2103847","3-dioxygenase 1 (IDO1) inhibitors"
"547","BMS-626529","CHEMBL3301620"," antivirals"
"548","GDC-0941","CHEMBL521851","PI3-kinase class I inhibitor"
"549","GDC-0941","CHEMBL521851","phosphatidylinositol 3-kinase (PI3K) inhibitors"
"550","pacritinib","CHEMBL2035187","Tyrosine-protein kinase JAK2 inhibitor"
"551","pacritinib","CHEMBL2035187","Tyrosine-protein kinase receptor FLT3 inhibitor"
"552","pacritinib","CHEMBL2035187","tyrosine kinase inhibitors"
"553","PF-562271","CHEMBL1084546","Focal adhesion kinase 1 inhibitor"
"554","orantinib","CHEMBL274654","Fibroblast growth factor receptor inhibitor"
"555","orantinib","CHEMBL274654","Platelet-derived growth factor receptor inhibitor"
"556","orantinib","CHEMBL274654","Vascular endothelial growth factor receptor 2 inhibitor"
"557","orantinib","CHEMBL274654","tyrosine kinase inhibitors"
"558","CEP-37440","CHEMBL3545051","ALK tyrosine kinase receptor inhibitor"
"559","CEP-37440","CHEMBL3545051","Focal adhesion kinase 1 inhibitor"
"560","LY2334737","CHEMBL577711"," "
"561","SC-12267","CHEMBL197194","Dihydroorotate dehydrogenase inhibitor"
"562","SC-12267","CHEMBL197194","immunosuppressives"
"563","TAK-715","CHEMBL363648","MAP kinase p38 alpha inhibitor"
"564","VX-702","CHEMBL1090090","MAP kinase p38 alpha inhibitor"
"565","lerisetron","CHEMBL56900"," serotonin 5-HT3 receptor antagonists"
"566","tioguanine","CHEMBL727","Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor"
"567","tioguanine","CHEMBL727","DNA inhibitor"
"568","emetine","CHEMBL50588"," "
"569","harringtonine","CHEMBL433257"," "
"570","ilomastat","CHEMBL19611"," enzyme inhibitors: matrix metalloprotease inhibitors"
"571","gossypol","CHEMBL51483"," "
"572","AMG-232","CHEMBL3125702","Tumour suppressor p53/oncoprotein Mdm2 inhibitor"
"573","AMG-232","CHEMBL3125702","ubiquitin ligase inhibitors"
"574","evacetrapib","CHEMBL2017179","Cholesteryl ester transfer protein inhibitor"
"575","evacetrapib","CHEMBL2017179","cholesterol ester transfer protein inhibitors"
"576","broxyquinoline","CHEMBL223448"," "
"577","tazemetostat","CHEMBL3414621"," enzyme inhibitors"
"578","FR-139317","CHEMBL37860"," "
"579","nisoxetine","CHEMBL295467"," antidepressants (fluoxetine type)"
"580","ABT-751","CHEMBL20684","Tubulin beta inhibitor"
"581","indibulin","CHEMBL49642","Tubulin inhibitor"
"582","indibulin","CHEMBL49642","antineoplastics (mitotic inhibitors; tubulin binders)"
"583","PF-04136309","CHEMBL4650501","C-C chemokine receptor type 2 antagonist"
"584","VX-765","CHEMBL2107819","Caspase-1 inhibitor"
"585","VX-765","CHEMBL2107819","caspase inhibitors"
"586","pterostilbene","CHEMBL83527"," "
"587","BMS-387032","CHEMBL296468","Cyclin-dependent kinase 2 inhibitor"
"588","BMS-387032","CHEMBL296468","Cyclin-dependent kinase 7 inhibitor"
"589","BMS-387032","CHEMBL296468","Cyclin-dependent kinase 9 inhibitor"
"590","cinromide","CHEMBL93233"," "
"591","GSK1292263","CHEMBL3187503","Glucose-dependent insulinotropic receptor agonist"
"592","BIBX-1382","CHEMBL258940","Epidermal growth factor receptor erbB1 inhibitor"
"593","roquinimex","CHEMBL11672"," immunostimulants"
"594","doxercalciferol","CHEMBL1200810","Vitamin D receptor agonist"
"595","doxercalciferol","CHEMBL1200810","vitamin D analogs"
"596","dexrazoxane","CHEMBL1738","Iron sequestering agent"
"597","dexrazoxane","CHEMBL1738","DNA topoisomerase II inhibitor"
"598","dexrazoxane","CHEMBL1738","alpha-adrenoceptor antagonists (benzodioxane derivatives)"
"599","alogliptin","CHEMBL376359"," dipeptidyl aminopeptidase-IV inhibitors"
"600","pentamidine","CHEMBL55"," pentamidine derivatives/analogues"
"601","leucovorin","CHEMBL1679"," "
"602","oxazepam","CHEMBL568","GABA-A receptor; anion channel positive allosteric modulator"
"603","oxazepam","CHEMBL568","antianxiety agents (diazepam type)"
"604","terconazole","CHEMBL1306","Cytochrome P450 51 inhibitor"
"605","terconazole","CHEMBL1306","systemic antifungals (miconazole type)"
"606","eprobemide","CHEMBL2104298"," "
"607","acetophenazine","CHEMBL1085"," "
"608","candesartan","CHEMBL1016","Type-1 angiotensin II receptor antagonist"
"609","candesartan","CHEMBL1016","angiotensin II receptor antagonists"
"610","sulfanilamide","CHEMBL21","Bacterial dihydropteroate synthase inhibitor"
"611","sulfanilamide","CHEMBL21","antimicrobials (sulfonamides derivatives)"
"612","parachlorophenol","CHEMBL57053"," "
"613","piperacetazine","CHEMBL1584","Unknown"
"614","quinethazone","CHEMBL1532","Thiazide-sensitive sodium-chloride cotransporter inhibitor"
"615","phenelzine","CHEMBL1089"," "
"616","mephenytoin","CHEMBL861","Sodium channel alpha subunit blocker"
"617","mephenytoin","CHEMBL861","antiepileptics (hydantoin derivatives)"
"618","levocarnitine","CHEMBL1149"," "
"619","riociguat","CHEMBL2107834","Soluble guanylate cyclase positive allosteric modulator"
"620","riociguat","CHEMBL2107834","guanaline cyclase activators"
"621","riluzole","CHEMBL744","Sodium channel alpha subunit blocker"
"622","itraconazole","CHEMBL64391","Cytochrome P450 51 inhibitor"
"623","itraconazole","CHEMBL64391","systemic antifungals (miconazole type)"
"624","fenoprofen","CHEMBL1297"," anti-inflammatory/analgesic agents (ibuprofen type)"
"625","nafcillin","CHEMBL1443"," penicillins"
"626","famotidine","CHEMBL902","Histamine H2 receptor antagonist"
"627","famotidine","CHEMBL902","H2-receptor antagonists (cimetidine type)"
"628","phenylbutazone","CHEMBL101","Cyclooxygenase inhibitor"
"629","phenylbutazone","CHEMBL101","anti-inflammatory analgesics (phenylbutazone type)"
"630","tiludronate","CHEMBL1350"," calcium metabolism regulators"
"631","colchicine","CHEMBL107","Tubulin inhibitor"
"632","busulfan","CHEMBL820","DNA inhibitor"
"633","busulfan","CHEMBL820","antineoplastics"
"634","busulfan","CHEMBL820","alkylating agents (methane sulfonate derivatives)"
"635","ciclesonide","CHEMBL2040682","Glucocorticoid receptor agonist"
"636","ciclesonide","CHEMBL2040682","topical steroids (acetal derivatives)"
"637","papaverine","CHEMBL19224"," spasmolytic agents (papaverine type)"
"638","chlorhexidine","CHEMBL790"," "
"639","amsacrine","CHEMBL43","DNA topoisomerase II inhibitor"
"640","amsacrine","CHEMBL43","acridine derivatives"
"641","daclatasvir","CHEMBL2023898"," antivirals: nonstructural protein 5A (NS5A) inhibitors"
"642","ciprofibrate","CHEMBL557555","Peroxisome proliferator-activated receptor alpha agonist"
"643","ciprofibrate","CHEMBL557555","antihyperlipidemics (clofibrate type)"
"644","idarubicin","CHEMBL1117"," antineoplastic antibiotics (daunorubicin type)"
"645","creatine","CHEMBL283800"," "
"646","thiram","CHEMBL120563"," "
"647","iproniazid","CHEMBL92401","Monoamine oxidase inhibitor"
"648","buphenine","CHEMBL114655"," "
"649","prednisolone","CHEMBL131","Glucocorticoid receptor agonist"
"650","prednisolone","CHEMBL131","steroids (not prednisolone derivatives); prednisone and prednisolone derivatives"
"651","ajmaline","CHEMBL2105617"," "
"652","oxyquinoline","CHEMBL310555"," "
"653","cefpiramide","CHEMBL1201204"," cephalosporins"
"654","methylprednisolone","CHEMBL650","Glucocorticoid receptor agonist"
"655","methylprednisolone","CHEMBL650","steroids (not prednisolone derivatives); prednisone and prednisolone derivatives"
"656","epinephrine","CHEMBL679","Adrenergic receptor agonist"
"657","tiletamine","CHEMBL2110703"," "
"658","terfenadine","CHEMBL17157","Histamine H1 receptor antagonist"
"659","pilocarpine","CHEMBL550","Muscarinic acetylcholine receptor M3 agonist"
"660","pilocarpine","CHEMBL550","Muscarinic acetylcholine receptor M1 agonist"
"661","pilocarpine","CHEMBL550","tricyclic compounds"
"662","mitoxantrone","CHEMBL58"," antineoplastics"
"663","mitoxantrone","CHEMBL58","anthraquinone derivatives"
"664","minocycline","CHEMBL1434"," antibiotics (tetracycline derivatives)"
"665","nadide","CHEMBL1234613"," "
"666","clofoctol","CHEMBL1476605"," "
"667","propranolol","CHEMBL27"," beta-blockers (propranolol type)"
"668","fenbendazole","CHEMBL37161","Tubulin beta chain"
"669","fenbendazole","CHEMBL37161","antithelmintics (tibendazole type)"
"670","naloxone","CHEMBL80"," narcotic agonists/antagonists (normorphine type)"
"671","sulfasalazine","CHEMBL421","Arachidonate 5-lipoxygenase inhibitor"
"672","sulfasalazine","CHEMBL421","Cyclooxygenase inhibitor"
"673","sulfasalazine","CHEMBL421","antiarrhythmic/antianginal/antihypertensive agents"
"674","sulfasalazine","CHEMBL421","phthalazine like structure; anti-inflammatory agents (salicylic acid derivatives); antimicrobials (sulfonamides derivatives)"
"675","aspirin","CHEMBL25","Cyclooxygenase inhibitor"
"676","propoxycaine","CHEMBL1195"," local anesthetics"
"677","pentagastrin","CHEMBL1328"," "
"678","noretynodrel","CHEMBL1387","Progesterone receptor agonist"
"679","betamethasone","CHEMBL632","Glucocorticoid receptor agonist"
"680","piperazine","CHEMBL1412"," "
"681","ramifenazone","CHEMBL157337"," "
"682","meclizine","CHEMBL1623"," "
"683","phenazone","CHEMBL277474","Cyclooxygenase-1 inhibitor"
"684","clofibrate","CHEMBL565","Peroxisome proliferator-activated receptor alpha agonist"
"685","clofibrate","CHEMBL565","antihyperlipidemics (clofibrate type)"
"686","remoxipride","CHEMBL22242","Dopamine D2 receptor antagonist"
"687","remoxipride","CHEMBL22242","sulpride derivatives and analogs"
"688","dolutegravir","CHEMBL1229211"," antivirals: integrase inhibitors"
"689","altretamine","CHEMBL1455","DNA inhibitor"
"690","streptozotocin","CHEMBL1651906","DNA inhibitor"
"691","nadifloxacin","CHEMBL363449","Bacterial DNA gyrase inhibitor"
"692","nadifloxacin","CHEMBL363449","Topoisomerase IV inhibitor"
"693","nadifloxacin","CHEMBL363449","antibacterials (quinolone derivatives)"
"694","hexylresorcinol","CHEMBL443605"," "
"695","benzethonium","CHEMBL1182210"," quaternary ammonium derivatives; quaternary ammonium derivatives"
"696","iobenguane","CHEMBL818"," iodine-containing contrast media"
"697","lovastatin","CHEMBL503","HMG-CoA reductase inhibitor"
"698","lovastatin","CHEMBL503","enzyme inhibitors: antihyperlipidemics (HMG-CoA inhibitors)"
"699","octenidine","CHEMBL1199480","Antiseptic"
"700","isoxsuprine","CHEMBL1197051"," "
"701","pyritinol","CHEMBL488093"," "
"702","enzalutamide","CHEMBL1082407","Androgen Receptor antagonist"
"703","enzalutamide","CHEMBL1082407","deuterated compounds; non-steroid antiandrogens"
"704","bumetanide","CHEMBL1072","Sodium-(potassium)-chloride cotransporter 2 inhibitor"
"705","bumetanide","CHEMBL1072","diuretics (piretanide type)"
"706","famciclovir","CHEMBL880","Human herpesvirus 1 DNA polymerase inhibitor"
"707","famciclovir","CHEMBL880","antivirals: antivirals (acyclovir type)"
"708","tyloxapol","CHEMBL1201548","Surfactant agent"
"709","istradefylline","CHEMBL431770","Adenosine A2a receptor antagonist"
"710","istradefylline","CHEMBL431770","theophylline derivatives"
"711","selamectin","CHEMBL1908325"," antiparasitics (ivermectin type)"
"712","niacin","CHEMBL573"," "
"713","tiagabine","CHEMBL1027"," gabamimetics"
"714","dorzolamide","CHEMBL218490"," carbonic anhydrase inhibitors"
"715","naproxen","CHEMBL154","Cyclooxygenase inhibitor"
"716","chloropyramine","CHEMBL1194287"," "
"717","omeprazole","CHEMBL1503","Potassium-transporting ATPase inhibitor"
"718","omeprazole","CHEMBL1503","antiulcer agents (benzimidazole derivatives)"
"719","paricalcitol","CHEMBL1200622","Vitamin D receptor agonist"
"720","paricalcitol","CHEMBL1200622","vitamin D analogs"
"721","ulipristal","CHEMBL2103846","Progesterone receptor modulator"
"722","ulipristal","CHEMBL2103846","steriodal compounds acting on progesterone receptors (excluding-gest- compounds)"
"723","benzocaine","CHEMBL278172","Unknown"
"724","benzocaine","CHEMBL278172","local anesthetics"
"725","digitoxin","CHEMBL254219","Sodium/potassium-transporting ATPase inhibitor"
"726","digitoxin","CHEMBL254219","fluoroquinolone derivatives"
"727","digitoxin","CHEMBL254219","nonantibacterial indication (e.g."
"728","digitoxin","CHEMBL254219","antineoplastic antibiotics)"
"729","cyclophosphamide","CHEMBL88"," "
"730","methotrexate","CHEMBL34259","Dihydrofolate reductase inhibitor"
"731","methotrexate","CHEMBL34259","antimetabolites (folic acid derivatives)"
"732","fluoromethylcholine","CHEMBL3707346"," "
"733","lanoconazole","CHEMBL1555126"," systemic antifungals (miconazole type)"
"734","carbachol","CHEMBL14","Muscarinic acetylcholine receptor M3 agonist"
"735","thioproperazine","CHEMBL609109"," "
"736","exemestane","CHEMBL1200374","Cytochrome P450 19A1 inhibitor"
"737","exemestane","CHEMBL1200374","antineoplastics (aromatase inhibitors)"
"738","hydrocortisone","CHEMBL389621","Glucocorticoid receptor agonist"
"739","hydrocortisone","CHEMBL389621","cortisone derivatives"
"740","naftidrofuryl","CHEMBL1443491"," "
"741","pitavastatin","CHEMBL1201753"," enzyme inhibitors: antihyperlipidemics (HMG-CoA inhibitors)"
"742","capsaicin","CHEMBL294199","Vanilloid receptor opener"
"743","practolol","CHEMBL6995","Beta-1 adrenergic receptor inhibitor"
"744","practolol","CHEMBL6995","beta-blockers (propranolol type)"
"745","clebopride","CHEMBL325109","Serotonin 4 (5-HT4) receptor agonist"
"746","clebopride","CHEMBL325109","Dopamine D2 receptor antagonist"
"747","clebopride","CHEMBL325109","sulpride derivatives and analogs"
"748","epirubicin","CHEMBL417"," antineoplastic antibiotics (daunorubicin type)"
"749","raloxifene","CHEMBL81"," antiestrogens of the clomifene and tamoxifen groups"
"750","monobenzone","CHEMBL1388","Tyrosinase inhibitor"
"751","mebendazole","CHEMBL685","Tubulin inhibitor"
"752","mebendazole","CHEMBL685","antithelmintics (tibendazole type)"
"753","methocarbamol","CHEMBL1201117","Carbonic anhydrase I inhibitor"
"754","ketoconazole","CHEMBL157101","Cytochrome P450 51 inhibitor"
"755","ketoconazole","CHEMBL157101","systemic antifungals (miconazole type)"
"756","cladribine","CHEMBL1619","DNA inhibitor"
"757","cladribine","CHEMBL1619","ribofuranil derivatives (pyrazofurin type)"
"758","monensin","CHEMBL256105"," "
"759","ranitidine","CHEMBL1790041","Histamine H2 receptor antagonist"
"760","ranitidine","CHEMBL1790041","H2-receptor antagonists (cimetidine type)"
"761","rabeprazole","CHEMBL1219"," antiulcer agents (benzimidazole derivatives)"
"762","lidamidine","CHEMBL448416"," pentamidine derivatives/analogues"
"763","norethindrone","CHEMBL1162","Progesterone receptor agonist"
"764","aripiprazole","CHEMBL1112","Dopamine D2 receptor partial agonist"
"765","aripiprazole","CHEMBL1112","Serotonin 1a (5-HT1a) receptor partial agonist"
"766","aripiprazole","CHEMBL1112","Serotonin 2a (5-HT2a) receptor antagonist"
"767","aripiprazole","CHEMBL1112","antiulcer agents (benzimidazole derivatives)"
"768","ubenimex","CHEMBL29292"," immunostimulants"
"769","levonorgestrel","CHEMBL1389","Progesterone receptor agonist"
"770","levonorgestrel","CHEMBL1389","estrogens; progestins"
"771","PD-98059","CHEMBL35482"," "
"772","hesperadin","CHEMBL514409"," "
"773","pepstatin","CHEMBL296588"," enzyme inhibitors: antihyperlipidemics (HMG-CoA inhibitors)"
"774","SIB-1757","CHEMBL88553"," "
"775","homosalate","CHEMBL1377575"," anti-inflammatory agents (salicylic acid derivatives)"
"776","SB-525334","CHEMBL401570"," "
