"","name","moas_curated","target"
"356","curcumin","COX pathway inhibitor","APP, CA1, CA12, CA14, CA2, CA4, CA6, CA9, CYP3A4, DNMT3B, EP300, MMP13, MMP9, NOS2, PTGS1, PTGS2, XDH"
"357","indoprofen","COX pathway inhibitor","CXCR1, CXCR2, PTGS1, PTGS2"
"358","ketoprofen","COX pathway inhibitor","CXCR1, PTGS1, PTGS2, SLC5A8"
"359","meloxicam","COX pathway inhibitor","PTGS1, PTGS2"
"360","metoxibutropate","COX pathway inhibitor","PTGS1, PTGS2"
"361","naproxen","COX pathway inhibitor","PTGS1, PTGS2"
"362","phenazone","COX pathway inhibitor","PTGS1, PTGS2"
"363","phenylbutazone","COX pathway inhibitor","PTGIS, PTGS1, PTGS2"
"364","piroxicam","COX pathway inhibitor","PTGS1, PTGS2"
"365","pterostilbene","COX pathway inhibitor","PTGS2"
"366","ramifenazone","COX pathway inhibitor",NA
"367","sulfasalazine","COX pathway inhibitor","ACAT1, ALOX5, CHUK, IKBKB, PLA2G1B, PPARG, PTGS1, PTGS2, SLC46A1, SLC7A11, TBXAS1"
"368","suxibuzone","COX pathway inhibitor",NA
"369","tepoxalin","COX pathway inhibitor","ALOX5"
"370","tryptanthrin","COX pathway inhibitor","IDO1"
"371","cyclosporin-a","Calcineurin inhibitor","PPP3CA"
"372","cyclosporine","Calcineurin inhibitor","ABCB11, CAMLG, FPR1, PPIA, PPIF, PPP3R2, SLC10A1, SLCO1B1, SLCO1B3"
"373","tacrolimus","Calcineurin inhibitor","FKBP1A"
"374","MK-3207","Calcitonin antagonist","CALCA"
"375","MK-3207","Calcitonin gene-related peptide type 1 receptor antagonist","CALCA"
"376","BAY-K-8644-(s)-(-)","Calcium channel activator","CACNA1C"
"377","cinacalcet","Calcium channel activator","CASR"
"378","SKF-96365","Calcium channel blocker","CYP3A4, PKD2, TRPC1, TRPC3, TRPC4, TRPC5, TRPV2"
"379","SR-33805","Calcium channel blocker",NA
"380","carboxyamidotriazole","Calcium channel blocker","CXCL8"
"381","cinnarazine","Calcium channel blocker",NA
"382","efonidipine-monoethanolate","Calcium channel blocker","CACNA1C, CACNA1G"
"383","fendiline","Calcium channel blocker","HTR2B"
"384","mibefradil","Calcium channel blocker","ANO1, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CATSPER1, CATSPER2, CATSPER3, CATSPER4"
"385","penfluridol","Calcium channel blocker","CACNA1G"
"386","pranidipine","Calcium channel blocker","CACNA1C"
"387","tetrandrine","Calcium channel blocker","SLC6A3"
"388","cyclovirobuxin-d","Calcium channel modulator",NA
"389","zaldaride","Calmodulin antagonist","CALM1"
"390","CP-945,598","Cannabinoid CB1 receptor antagonist","CNR1"
"391","GW-842166","Cannabinoid CB2 receptor agonist","CNR2"
"392","GW-405833","Cannabinoid receptor agonist","CNR2"
"393","GW-842166","Cannabinoid receptor agonist","CNR2"
"394","oleoylethanolamide","Cannabinoid receptor agonist","CNR1, GPR119, GPR55, PPARA"
"395","palmitoylethanolamide","Cannabinoid receptor agonist","CNR2, GPR119, GPR55"
"396","AM-251","Cannabinoid receptor antagonist","CNR1, GPR18, GPR55"
"397","CP-945,598","Cannabinoid receptor antagonist","CNR1"
"398","rutin","Capillary stabilizing agent","AKR1C3"
"399","acetazolamide","Carbonic anhydrase inhibitor","AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7"
"400","dorzolamide","Carbonic anhydrase inhibitor","CA1, CA12, CA14, CA2, CA4, CA7"
"401","methocarbamol","Carbonic anhydrase inhibitor","CA1"
"402","sulfanilamide","Carbonic anhydrase inhibitor","CYP2C19, CYP2C9, CYP2D6, CYP2E1, CYP3A4"
"403","tioxolone","Carbonic anhydrase inhibitor","CA2"
"404","lanatoside-c","Cardiac glycoside",NA
"405","peruvoside","Cardiac glycoside",NA
"406","etomoxir","Carnitine palmitoyltransferase inhibitor","CPT1A"
"407","CX-4945","Casein inhibitior","CSNK2A1, CSNK2A2, DAPK3, HIPK3"
"408","LY303511","Casein inhibitior","BRD2, BRD3, BRD4"
"409","PAC-1","Caspase activator","CASP3"
"410","PETCM","Caspase activator","CASP3"
"411","gambogic-acid","Caspase activator","BCL2"
"412","VX-765","Caspase inhibitor","CASP1"
"413","odanacatib","Cathepsin K inhibitor","CTSK"
"414","odanacatib","Cathepsin inhibitor","CTSK"
"415","benzyldimethylhexadecylammonium","Cationic surfactant",NA
"416","BMS-387032","Cell cycle inhibitor","CDK2, CDK7, CDK9"
"417","rigosertib","Cell cycle inhibitor","PLK1"
"418","nonoxynol-9","Cell membrane disrupting agent",NA
"419","deferasirox","Chelating agent","CYP3A4"
"420","dexrazoxane","Chelating agent","TOP2A, TOP2B"
"421","oxyquinoline","Chelating agent","METAP2"
"422","penicillamine-(D)","Chelating agent",NA
"423","picolinic-acid","Chelating agent",NA
"424","7-hydroxystaurosporine","Chk inhibitor","CHEK1, MARK3, PDPK1"
"425","AZD7762","Chk inhibitor","CHEK1, CHEK2"
"426","CHIR-124","Chk inhibitor","CHEK1"
"427","LY2603618","Chk inhibitor","CHEK1"
"428","LY2606368","Chk inhibitor","CHEK1"
"429","PF-477736","Chk inhibitor","CHEK1, CHEK2"
"430","SB-218078","Chk inhibitor","CHEK1"
"431","SCH-900776","Chk inhibitor","CDK2, CHEK1"
"432","flufenamic-acid","Chloride channel blocker","AKR1C3, ANO1, AR, GJA1, GJA10, GJA3, GJA4, GJA5, GJA8, GJA9, GJB1, GJB2, GJB3, GJB4, GJB5, GJB6, GJB7, GJC1, GJC2, GJC3, GJD2, GJD3, GJD4, GJE1, PANX1, PANX2, PANX3, PKD2L1, PTGS1, PTGS2, TRPC5, TRPM2, TRPM5"
"433","acipimox","Cholesterol ester transfer inhibitor","HCAR2"
"434","dalcetrapib","Cholesteryl ester transfer protein inhibitor","CETP"
"435","evacetrapib","Cholesteryl ester transfer protein inhibitor","CETP"
"436","torcetrapib","Cholesteryl ester transfer protein inhibitor","CETP"
"437","carbachol","Cholinergic receptor agonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2"
"438","butylscopolamine-bromide","Cholinergic receptor antagonist",NA
"439","nitrocaramiphen","Cholinergic receptor antagonist","CHRM1"
"440","oxyphencyclimine","Cholinergic receptor antagonist","CHRM1, CHRM2, CHRM3"
"441","hydroxytacrine-maleate-(r,s)","Cholinesterase inhibitor","ACHE"
"442","obidoxime","Cholinesterase reactivator","ACHE"
"443","halofuginone","Collagenase inhibitor","COL1A1, MMP2"
"444","meclizine","Constitutive androstane receptor (CAR) agonist","HRH1, NR1I3"
"445","estradiol-benzoate","Contraceptive agent","ESR1"
"446","cyclosporin-a","Cyclophilin A modulator","PPP3CA"
"447","cyclosporine","Cyclophilin A modulator","ABCB11, CAMLG, FPR1, PPIA, PPIF, PPP3R2, SLC10A1, SLCO1B1, SLCO1B3"
"448","IOWH032","Cystic fibrosis transmembrane conductance regulator inhibitor","CFTR"
"449","tezacaftor","Cystic fibrosis transmembrane conductance regulator positive modulator",NA
"450","tetrahydrouridine","Cytidine deaminase inhibitor","CDA"
"451","PF-4981517","Cytochrome P450 inhibitor","CYP3A4"
"452","abiraterone","Cytochrome P450 inhibitor","CYP11B1, CYP17A1"
"453","abiraterone-acetate","Cytochrome P450 inhibitor","CYP17A1"
"454","aminoglutethimide","Cytochrome P450 inhibitor","CYP11A1, CYP19A1"
"455","anastrozole","Cytochrome P450 inhibitor","CYP19A1"
"456","clotrimazole","Cytochrome P450 inhibitor","CYP3A4, KCNN4, NR1I2, NR1I3, TRPM2, TRPM4, TRPM8"
"457","cobicistat","Cytochrome P450 inhibitor","CYP3A4, CYP3A43, CYP3A5, CYP3A7"
"458","eplerenone","Cytochrome P450 inhibitor","NR3C2"
"459","exemestane","Cytochrome P450 inhibitor","CYP19A1"
"460","galeterone","Cytochrome P450 inhibitor","AR, CYP17A1"
"461","itraconazole","Cytochrome P450 inhibitor","CYP51A1"
"462","ketoconazole","Cytochrome P450 inhibitor","AR, CYP19A1, CYP21A2, KCNA10"
"463","letrozole","Cytochrome P450 inhibitor","CYP19A1"
"464","metyrapone","Cytochrome P450 inhibitor","CYP11B1"
"465","morin","Cytochrome P450 inhibitor","ADORA2A, ESR2, FASN, MCL1, SLC22A12"
"466","posaconazole","Cytochrome P450 inhibitor","CYP3A4"
"467","terconazole","Cytochrome P450 inhibitor",NA
"468","JTE-607","Cytokine production inhibitor","IL10, IL1B, IL6, TNF"
"469","fexinidazole","Cytotoxic",NA
"470","TH-302","DNA alkylating/crosslinking/intercalating agent",NA
"471","ambazone","DNA alkylating/crosslinking/intercalating agent",NA
"472","carboplatin","DNA alkylating/crosslinking/intercalating agent",NA
"473","carmustine","DNA alkylating/crosslinking/intercalating agent","GSR"
"474","cisplatin","DNA alkylating/crosslinking/intercalating agent","XIAP"
"475","cyclophosphamide","DNA alkylating/crosslinking/intercalating agent","CYP2A6, CYP2B6, CYP2C18, CYP2C19, CYP2C8, CYP2C9, CYP2D6, CYP3A4, CYP3A5, CYP3A7"
"476","dacarbazine","DNA alkylating/crosslinking/intercalating agent","PGD, POLA2"
"477","dianhydrogalactitol","DNA alkylating/crosslinking/intercalating agent",NA
"478","doxifluridine","DNA alkylating/crosslinking/intercalating agent","TYMS"
"479","echinomycin","DNA alkylating/crosslinking/intercalating agent",NA
"480","estramustine","DNA alkylating/crosslinking/intercalating agent","ESR1, ESR2, MAP1A, MAP2"
"481","ethacridine-lactate-monohydrate","DNA alkylating/crosslinking/intercalating agent",NA
"482","genipin","DNA alkylating/crosslinking/intercalating agent",NA
"483","ifosfamide","DNA alkylating/crosslinking/intercalating agent","CYP2A6, CYP2B6, CYP2C18, CYP2C19, CYP2C8, CYP2C9, CYP3A4, CYP3A5, CYP3A7, PTGS1"
"484","melphalan","DNA alkylating/crosslinking/intercalating agent",NA
"485","mitomycin-c","DNA alkylating/crosslinking/intercalating agent",NA
"486","satraplatin","DNA alkylating/crosslinking/intercalating agent",NA
"487","streptozotocin","DNA alkylating/crosslinking/intercalating agent","SLC2A2"
"488","temozolomide","DNA alkylating/crosslinking/intercalating agent","MGMT"
"489","tirapazamine","DNA alkylating/crosslinking/intercalating agent",NA
"490","5-fluorouracil","DNA inhibitor","DPYD, TYMS"
"491","TH-302","DNA inhibitor",NA
"492","altretamine","DNA inhibitor",NA
"493","azacitidine","DNA inhibitor","DNMT1, DNMT3A"
"494","azathioprine","DNA inhibitor","HPRT1, IMPDH1, PPAT"
"495","bendamustine","DNA inhibitor",NA
"496","busulfan","DNA inhibitor",NA
"497","capecitabine","DNA inhibitor","TYMS"
"498","carboplatin","DNA inhibitor",NA
"499","carmustine","DNA inhibitor","GSR"
"500","chlorambucil","DNA inhibitor",NA
"501","chloroxine","DNA inhibitor","OPRK1"
"502","cisplatin","DNA inhibitor","XIAP"
"503","cladribine","DNA inhibitor","ADA, PNP, POLA1, POLE, POLE2, POLE3, POLE4, RRM1, RRM2, RRM2B"
"504","clofarabine","DNA inhibitor","POLA1, POLD1, POLE, RRM1, RRM2, RRM2B"
"505","clofazimine","DNA inhibitor",NA
"506","crystal-violet","DNA inhibitor",NA
"507","cytarabine","DNA inhibitor","POLA1, POLB, POLD1, POLE"
"508","dacarbazine","DNA inhibitor","PGD, POLA2"
"509","daunorubicin","DNA inhibitor","TOP2A, TOP2B"
"510","decitabine","DNA inhibitor","DNMT1, DNMT3A"
"511","ftorafur","DNA inhibitor","TYMS"
"512","idoxuridine","DNA inhibitor",NA
"513","ifosfamide","DNA inhibitor","CYP2A6, CYP2B6, CYP2C18, CYP2C19, CYP2C8, CYP2C9, CYP3A4, CYP3A5, CYP3A7, PTGS1"
"514","mechlorethamine","DNA inhibitor",NA
"515","melphalan","DNA inhibitor",NA
"516","metronidazole","DNA inhibitor","CYP2C9, CYP3A4"
"517","mitomycin-c","DNA inhibitor",NA
"518","nelarabine","DNA inhibitor","POLA1"
"519","niclosamide","DNA inhibitor","STAT3"
"520","oxaliplatin","DNA inhibitor",NA
"521","pibenzimol","DNA inhibitor",NA
"522","primaquine","DNA inhibitor","KRT7, NQO2"
"523","sangivamycin","DNA inhibitor",NA
"524","secnidazole","DNA inhibitor",NA
"525","streptozotocin","DNA inhibitor","SLC2A2"
"526","temozolomide","DNA inhibitor","MGMT"
"527","teroxirone","DNA inhibitor",NA
"528","thioguanine","DNA inhibitor","IMPDH1, IMPDH2"
"529","tioguanine","DNA inhibitor",NA
"530","tirapazamine","DNA inhibitor",NA
"531","trifluridine","DNA inhibitor","TYMS"
"532","valrubicin","DNA inhibitor","TOP2A"
"533","voreloxin","DNA inhibitor","TOP2A"
"534","RG108","DNA methyltransferase inhibitor","DNMT1, DNMT3B"
"535","SGI-1027","DNA methyltransferase inhibitor","DNMT1, DNMT3A, DNMT3B"
"536","azacitidine","DNA methyltransferase inhibitor","DNMT1, DNMT3A"
"537","decitabine","DNA methyltransferase inhibitor","DNMT1, DNMT3A"
"538","disulfiram","DNA methyltransferase inhibitor","ALDH2, DBH"
"539","fdcyd","DNA methyltransferase inhibitor",NA
"540","adefovir-dipivoxil","DNA polymerase inhibitor",NA
"541","cephalomannine","DNA polymerase inhibitor",NA
"542","cidofovir","DNA polymerase inhibitor",NA
"543","clofarabine","DNA polymerase inhibitor","POLA1, POLD1, POLE, RRM1, RRM2, RRM2B"
"544","cytarabine","DNA polymerase inhibitor","POLA1, POLB, POLD1, POLE"
"545","famciclovir","DNA polymerase inhibitor",NA
"546","fludarabine-phosphate","DNA polymerase inhibitor","DCK, POLA1, POLD1, POLE, RRM1, RRM2, RRM2B"
"547","foscarnet","DNA polymerase inhibitor",NA
"548","PIK-75","DNA protein kinase inhibitor","PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC"
"549","niclosamide","DNA replication inhibitor","STAT3"
"550","CB-10-277","DNA synthesis inhibitor",NA
"551","altretamine","DNA synthesis inhibitor",NA
"552","anisomycin","DNA synthesis inhibitor","NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1"
"553","artemisinin","DNA synthesis inhibitor","CYP2B6"
"554","artesunate","DNA synthesis inhibitor",NA
"555","azodicarbonamide","DNA synthesis inhibitor",NA
"556","capecitabine","DNA synthesis inhibitor","TYMS"
"557","cisplatin","DNA synthesis inhibitor","XIAP"
"558","cyclocytidine","DNA synthesis inhibitor",NA
"559","enocitabine","DNA synthesis inhibitor","CMPK1, RRM1, TYMS"
"560","estramustine-phosphate","DNA synthesis inhibitor","ESR1, ESR2, MAP1A, MAP2"
"561","floxuridine","DNA synthesis inhibitor","TYMS"
"562","mitomycin-c","DNA synthesis inhibitor",NA
"563","nelarabine","DNA synthesis inhibitor","POLA1"
"564","PR-619","DUB inhibitor",NA
"565","azathioprine","Dehydrogenase inhibitor","HPRT1, IMPDH1, PPAT"
"566","mycophenolate-mofetil","Dehydrogenase inhibitor","IMPDH1, IMPDH2"
"567","mycophenolic-acid","Dehydrogenase inhibitor","IMPDH1, IMPDH2"
"568","diaveridine","Dihydrofolate reductase inhibitor",NA
"569","methotrexate","Dihydrofolate reductase inhibitor","DHFR"
"570","pralatrexate","Dihydrofolate reductase inhibitor","DHFR, TYMS"
"571","pyrimethamine","Dihydrofolate reductase inhibitor","DHFR, SLC47A1"
"572","SC-12267","Dihydroorotate dehydrogenase inhibitor","IL17A"
"573","brequinar","Dihydroorotate dehydrogenase inhibitor","DHODH"
"574","teriflunomide","Dihydroorotate dehydrogenase inhibitor","DHODH"
"575","gimeracil","Dihydropyrimidine dehydrogenase inhibitor","DPYD"
"576","regorafenib","Discoidin domain-containing receptor 2 inhibitor","ABL1, BRAF, DDR2, EPHA2, FGFR1, FGFR2, FLT1, FLT4, FRK, KDR, KIT, MAPK11, NTRK1, PDGFRA, PDGFRB, RAF1, RET, TEK"
"577","UH-232-(+)","Dopamine receptor antagonist","DRD2, DRD3, DRD4, HTR1A"
"578","acetophenazine","Dopamine receptor antagonist","DRD1, DRD2"
"579","amisulpride","Dopamine receptor antagonist","DRD2, DRD3, HTR2A, HTR7"
"580","clebopride","Dopamine receptor antagonist","ACHE, DRD2"
"581","domperidone","Dopamine receptor antagonist","DRD2, DRD3"
"582","isofloxythepin","Dopamine receptor antagonist",NA
"583","lurasidone","Dopamine receptor antagonist","ADRA2A, ADRA2C, DRD2, HTR1A, HTR2A, HTR7"
"584","mesoridazine","Dopamine receptor antagonist","DRD2, HTR2A"
"585","nemonapride","Dopamine receptor antagonist","DRD2, DRD3, DRD4"
"586","oxiperomide","Dopamine receptor antagonist",NA
"587","paliperidone","Dopamine receptor antagonist","ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CYP2D6, CYP3A4, CYP3A5, DRD1, DRD2, DRD3, DRD4, HRH1, HTR1A, HTR1D, HTR2A, HTR2C"
"588","piperacetazine","Dopamine receptor antagonist",NA
"589","raclopride","Dopamine receptor antagonist","DRD2, DRD3, HTR1A"
"590","remoxipride","Dopamine receptor antagonist","DRD2, DRD3, DRD4, HTR2A, SIGMAR1"
"591","sertindole","Dopamine receptor antagonist","ADRA1A, ADRA1B, ADRA1D, DRD2, DRD3, DRD4, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2C, HTR6, KCNH2"
"592","thioproperazine","Dopamine receptor antagonist","ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A"
"593","ziprasidone","Dopamine receptor antagonist","ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR3A, HTR6, HTR7, SLC6A4"
"594","3'-fluorobenzylspiperone","Dopamine receptor ligand","DRD2"
"595","8-hydroxy-PIPAT","Dopamine receptor ligand","DRD2, DRD3"
"596","CS-110266","Dopamine receptor partial agonist","SLC6A3"
"597","Ro-10-5824","Dopamine receptor partial agonist","DRD4"
"598","aripiprazole","Dopamine receptor partial agonist","ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR3A, HTR6, HTR7"
"599","pardoprunox","Dopamine receptor partial agonist","DRD2, DRD3, DRD4, HTR1A, HTR7"
"600","uridine","Dopamine receptor partial agonist","LSM6, TYMP"
"601","palmatine-chloride","Dopamine synthesis inhibitor","CYP3A4"
"602","BTS-54505","Dopamine transporter/uptake inhibitor","SLC6A2, SLC6A3, SLC6A4"
"603","methylphenidate","Dopamine transporter/uptake inhibitor","SLC6A2, SLC6A3, SLC6A4"
"604","vanoxerine","Dopamine transporter/uptake inhibitor","SLC6A3"
"605","LDN-57444","E3 ubiquitin ligase inhibitor",NA
"606","NSC-632839","E3 ubiquitin ligase inhibitor","SENP2, USP1, USP2, USP7"
"607","NSC-697923","E3 ubiquitin ligase inhibitor","UBE2N"
"608","P22077","E3 ubiquitin ligase inhibitor","USP7"
"609","P5091","E3 ubiquitin ligase inhibitor","USP7"
"610","VLX600","E3 ubiquitin ligase inhibitor","USP14"
"611","WP1130","E3 ubiquitin ligase inhibitor","JAK2, UCHL5, USP14, USP9X"
"612","lenalidomide","E3 ubiquitin ligase inhibitor","CDH5, CRBN, PTGS2, TNF, TNFSF11"
"613","pomalidomide","E3 ubiquitin ligase inhibitor","CRBN, PTGS2, TNF"
"614","AEE788","EGF receptor inhibitor","EGFR, ERBB2, ERBB4, FGFR2, FGFR3, KDR"
"615","AP26113","EGF receptor inhibitor","ALK, EGFR"
"616","ARRY-334543","EGF receptor inhibitor","ERBB2"
"617","AST-1306","EGF receptor inhibitor","EGFR, ERBB2"
"618","AZD8931","EGF receptor inhibitor","EGFR, ERBB2, ERBB3"
"619","BIBU-1361","EGF receptor inhibitor","EGFR"
"620","BIBX-1382","EGF receptor inhibitor","EGFR, ERBB2"
"621","BMS-599626","EGF receptor inhibitor","EGFR, ERBB2, ERBB4"
"622","BMS-690514","EGF receptor inhibitor","EGFR, ERBB2, FLT3, KDR"
"623","CEP-32496","EGF receptor inhibitor","BRAF, RAF1"
"624","CGP-52411","EGF receptor inhibitor","EGFR"
"625","CNX-2006","EGF receptor inhibitor","EGFR"
"626","CP-724714","EGF receptor inhibitor","ERBB2"
"627","CUDC-101","EGF receptor inhibitor","EGFR, ERBB2"
"628","ENMD-2076","EGF receptor inhibitor","AURKA, FLT3, KDR, PDGFRA, PTK2, SRC"
"629","FERb-033","EGF receptor inhibitor","ERBB2"
"630","GW-583340","EGF receptor inhibitor","EGFR, ERBB2"
"631","KI-8751","EGF receptor inhibitor","KDR"
"632","MGCD-265","EGF receptor inhibitor","AXL, MET"
"633","MK-2461","EGF receptor inhibitor","FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, KDR, MERTK, MET, MST1R, NTRK1, NTRK2, PDGFRB"
"634","OSI-420","EGF receptor inhibitor","EGFR"
"635","OSI-930","EGF receptor inhibitor","KDR, KIT"
"636","PD-153035","EGF receptor inhibitor","EGFR, KDR"
"637","PD-168393","EGF receptor inhibitor","EGFR, ERBB2, SRC"
"638","PD-173074","EGF receptor inhibitor","FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, PDGFRA, PDGFRB"
"639","RAF265","EGF receptor inhibitor","BRAF"
"640","SAR131675","EGF receptor inhibitor","FLT4"
"641","SU014813","EGF receptor inhibitor","KDR"
"642","TAK-285","EGF receptor inhibitor","ERBB2"
"643","TG-100572","EGF receptor inhibitor","KDR, SRC"
"644","WZ-3146","EGF receptor inhibitor","EGFR"
"645","WZ-4002","EGF receptor inhibitor","EGFR, ERBB2"
"646","WZ8040","EGF receptor inhibitor","EGFR"
"647","XL-647","EGF receptor inhibitor","EGFR, EPHB4, ERBB2, FLT4, KDR"
"648","ZM-306416","EGF receptor inhibitor","EGFR, FLT1, FLT4, KDR"
"649","afatinib","EGF receptor inhibitor","EGFR, ERBB2, ERBB4"
"650","axitinib","EGF receptor inhibitor","CSF1, FLT1, FLT4, KDR, PLK4"
"651","brigatinib","EGF receptor inhibitor","ALK, EGFR"
"652","cabozantinib","EGF receptor inhibitor","KDR, MET"
"653","canertinib","EGF receptor inhibitor","AKT1, EGFR, ERBB2, ERBB4"
"654","cediranib","EGF receptor inhibitor","CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRA, PDGFRB"
"655","dacomitinib","EGF receptor inhibitor","EGFR, ERBB2, ERBB4"
"656","dovitinib","EGF receptor inhibitor","CSF1R, EGFR, FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, INSR, KDR, KIT, PDGFRA, PDGFRB"
"657","erlotinib","EGF receptor inhibitor","EGFR, NR1I2"
"658","foretinib","EGF receptor inhibitor","FLT1, FLT4, KDR, MET"
"659","gefitinib","EGF receptor inhibitor","EGFR"
"660","golvatinib","EGF receptor inhibitor","KDR, MET"
"661","icotinib","EGF receptor inhibitor","EGFR"
"662","lapatinib","EGF receptor inhibitor","EGFR, ERBB2"
"663","lenvatinib","EGF receptor inhibitor","FLT4, KDR"
"664","linifanib","EGF receptor inhibitor","CSF1, CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRB, RET, TEK"
"665","lucitanib","EGF receptor inhibitor","FGFR1, FLT1, KDR, KIT, PDGFRA, PDGFRB, RET"
"666","motesanib","EGF receptor inhibitor","FLT1, FLT4, KDR, KIT"
"667","mubritinib","EGF receptor inhibitor","EGFR, ERBB2"
"668","neratinib","EGF receptor inhibitor","EGFR, ERBB2, KDR"
"669","nintedanib","EGF receptor inhibitor","FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, PDGFRA, PDGFRB"
"670","orantinib","EGF receptor inhibitor","AURKA, AURKB, EGFR, FGFR1, FGFR2, KDR, PDGFRA, PDGFRB"
"671","osimertinib","EGF receptor inhibitor","EGFR"
"672","pazopanib","EGF receptor inhibitor","CSF1R, FGF1, FGFR1, FGFR3, FLT1, FLT4, ITK, KDR, KIT, PDGFRA, PDGFRB, SH2B3"
"673","pelitinib","EGF receptor inhibitor","EGFR"
"674","poziotinib","EGF receptor inhibitor","EGFR, ERBB2, ERBB4"
"675","regorafenib","EGF receptor inhibitor","ABL1, BRAF, DDR2, EPHA2, FGFR1, FGFR2, FLT1, FLT4, FRK, KDR, KIT, MAPK11, NTRK1, PDGFRA, PDGFRB, RAF1, RET, TEK"
"676","rociletinib","EGF receptor inhibitor","EGFR"
"677","salvianolic-acid-B","EGF receptor inhibitor","MMP9"
"678","semaxanib","EGF receptor inhibitor","FGFR1, FLT1, KDR, KIT, PDGFRA, PDGFRB, RET"
"679","sorafenib","EGF receptor inhibitor","BRAF, DDR2, FGFR1, FLT1, FLT3, FLT4, KDR, KIT, PDGFRB, RAF1, RET"
"680","sunitinib","EGF receptor inhibitor","CSF1R, FGFR1, FLT1, FLT3, FLT4, KDR, KIT, PDGFRA, PDGFRB, RET"
"681","telatinib","EGF receptor inhibitor","KDR"
"682","tivozanib","EGF receptor inhibitor","FLT1, FLT4, KDR, KIT, PDGFRA, PDGFRB"
"683","tucatinib","EGF receptor inhibitor","ERBB2"
"684","tyrphostin-AG-1478","EGF receptor inhibitor","EGFR, MAPK14"
"685","tyrphostin-AG-494","EGF receptor inhibitor","EGFR"
"686","vandetanib","EGF receptor inhibitor","EGFR, EPHA1, EPHA10, EPHA2, EPHA3, EPHA4, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB3, EPHB4, EPHB6, ERBB2, ERBB3, ERBB4, FLT1, FLT4, KDR, PTK6, RET, SRC, TEK, VEGFA"
"687","vatalanib","EGF receptor inhibitor","EGFR, FLT1, FLT4, KDR, PDGFRB"
"688","crizotinib","EML4-ALK","ALK, MET"
"689","triamterene","ENaC blocker","SCNN1A, SCNN1B, SCNN1D, SCNN1G"
"690","BVD-523","ERK inhibitor",NA
"691","GSK2656157","ERK inhibitor",NA
"692","bosentan","ET-A/ET-B antagonist","EDNRA, EDNRB"
"693","AZD9668","Elastase inhibitor","ELANE"
"694","torasemide","Electrolyte reabsorption inhibitor","SLC12A1"
"695","nadide","Electron acceptor","AHCY, AKR1A1, ALDH2, BLVRA, DHPS, DLD, GALE, HMGCR, HSD17B1, HSD17B4, IMPDH2, MGAM, P2RY11, SORD, TRPM2"
"696","FR-139317","Endothelin receptor antagonist","EDNRA"
"697","bosentan","Endothelin receptor antagonist","EDNRA, EDNRB"
"698","racecadotril","Enkephalinase inhibitor","MME"
"699","NVP-BHG712","Ephrin receptor inhibitor","EPHB4"
"700","XL-647","Ephrin receptor inhibitor","EGFR, EPHB4, ERBB2, FLT4, KDR"
"701","dasatinib","Ephrin receptor inhibitor","ABL1, ABL2, BLK, EPHA2, FGR, FRK, FYN, HCK, KIT, LCK, LYN, PDGFRB, SRC, SRMS, STAT5B, YES1"
"702","regorafenib","Ephrin receptor inhibitor","ABL1, BRAF, DDR2, EPHA2, FGFR1, FGFR2, FLT1, FLT4, FRK, KDR, KIT, MAPK11, NTRK1, PDGFRA, PDGFRB, RAF1, RET, TEK"
"703","vandetanib","Ephrin receptor inhibitor","EGFR, EPHA1, EPHA10, EPHA2, EPHA3, EPHA4, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB3, EPHB4, EPHB6, ERBB2, ERBB3, ERBB4, FLT1, FLT4, KDR, PTK6, RET, SRC, TEK, VEGFA"
"704","PPT","Estrogen receptor agonist","ESR1"
